24.1,2024-07-17,24.1.4,Eric Engestrom
,2024-07-31,24.1.5,Eric Engestrom
,2024-08-14,24.1.6,Eric Engestrom
,2024-08-28,24.1.7,Eric Engestrom
24.2,2024-07-17,24.2.0-rc1,Eric Engestrom,24.2 branchpoint
,2024-07-24,24.2.0-rc2,Eric Engestrom
,2024-07-31,24.2.0-rc3,Eric Engestrom
,2024-08-07,24.2.0-rc4,Eric Engestrom,or 24.2.0 final
